ID_number,Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem,Aggression_component,Shyness_component,Extraversion_component
2948,2.4767,2,1,SIB,4,2,1,4,3,2,2,1,2,2,2,0,2,1.664610348,-0.230770265,-0.564223327
2949,0.6164,2,0,BRI,8,4,1,4,4,1,1,1,2,1,1,0,1,-0.420294646,-0.360406731,0.048010438
2950,5.3534,1,1,ABY,4,5,1,5,4,1,2,1,1,1,3,0,1,0.828542283,-0.993466807,0.650454433
2951,0.411,1,0,BRI,4,5,1,5,5,1,1,1,2,1,3,0,1,-0.402461856,-0.175096499,1.401121768
2952,1.3233,1,0,KOR,4,2,1,3,4,1,1,3,2,1,2,2,1,0.43094447,-0.642415178,-0.620791745
2953,1.3233,1,0,KOR,4,2,1,4,4,1,2,3,1,1,1,0,1,1.6797814,-1.275475253,-0.018347751
2954,2.7671,1,1,TUV,6,2,0,4,4,1,1,3,5,1,4,0,1,0.205162601,1.225005631,0.425032804
2955,2.7671,1,1,TUV,6,2,0,4,4,1,1,3,2,1,4,2,1,0.421213768,-0.453313361,0.114011835
2956,1.9041,2,1,NFO,5,4,1,4,4,1,1,2,2,2,1,0,1,-0.06533208,0.108960881,0.134808923
2957,1.2795,1,1,NFO,5,4,1,5,4,1,1,2,2,1,1,1,1,-0.009271141,-0.217758229,0.815814716
2958,4.9699,1,1,SIB,4,1,1,4,4,1,1,2,2,2,1,2,1,-0.06533208,0.108960881,0.134808923
2959,4.9726,1,1,SIB,4,1,1,3,4,1,1,2,3,3,1,2,1,-0.193410075,0.995119655,-0.442523213
2960,7.1726,1,1,HCS,3,2,1,4,4,1,1,2,2,2,4,0,1,-0.06533208,0.108960881,0.134808923
2961,3.8192,2,1,other,5,1,1,4,5,1,1,2,2,1,2,4,1,0.028023053,-0.41065163,0.699318887
2962,0.7014,1,0,ORI,5,3,1,4,3,1,1,1,4,5,4,1,0,-0.855058815,2.825547889,-0.147758852
2963,6.3151,1,1,HCS,2,5,1,3,3,1,1,2,4,3,2,4,1,-0.292990624,1.558350903,-0.957157307
2964,0.3918,1,0,NFO,4,5,0,4,3,1,1,3,3,1,3,1,1,0.32163322,0.109917888,-0.400622259
2965,6.4712,1,1,CRX,5,2,1,4,4,1,1,1,2,2,1,0,1,-0.486086287,0.155414196,0.101808225
2966,2.3205,2,1,CRX,5,1,0,4,4,1,1,1,2,1,1,0,1,-0.420294646,-0.360406731,0.048010438
2967,7.7671,2,1,TUV,5,5,1,4,4,1,2,2,3,3,3,2,0,0.983409799,0.921499243,0.263594438
2968,2.3671,1,1,CRX,5,3,1,5,5,1,1,1,1,1,1,0,1,-0.3304448,-0.734536162,1.297448112
2969,7.1452,2,1,CRX,5,2,1,4,3,1,1,1,2,2,1,0,1,-0.51364978,0.15920578,-0.516499525
2970,4.7397,1,1,CRX,5,2,1,5,5,1,1,1,1,1,1,0,1,-0.3304448,-0.734536162,1.297448112
2971,0.8904,2,0,KOR,4,1,0,5,5,1,1,1,2,2,4,3,1,-0.468253497,0.340724428,1.454919555
2972,2.2027,1,0,HCS,8,1,1,5,5,1,1,1,1,2,1,0,1,-0.396236441,-0.218715236,1.351245899
2973,2.7644,1,1,BUR,4,2,1,3,4,1,1,2,4,2,1,0,1,-0.19963549,1.038738392,-0.392647343
2974,1.6932,1,1,BUR,4,5,1,5,5,1,1,3,1,1,1,0,1,0.511063615,-0.827442792,1.363449508
2975,2.611,2,1,BUR,5,2,1,5,4,2,2,4,5,5,4,1,1,2.53127967,3.040961796,1.360304428
2976,7.326,1,1,other,5,1,1,3,4,1,1,1,2,2,2,0,1,-0.476355586,-0.033687621,-0.632995354
2977,1.5425,1,1,SBI,4,4,1,3,4,1,1,2,2,2,3,0,1,-0.055601378,-0.080140936,-0.599994656
2978,3.2411,1,1,BRI,4,5,0,2,4,1,1,3,4,3,3,5,1,0.165057778,1.319004187,-1.040652438
2979,1.7014,1,1,CRX,4,2,0,4,4,3,1,3,3,3,2,0,1,2.201032535,0.883260525,0.28720532
2980,1.9233,2,1,MCO,5,4,1,4,5,1,1,1,1,1,2,0,1,-0.320714098,-0.923637979,0.562644532
2981,1.7233,2,1,BEN,4,1,1,4,4,1,1,1,3,3,2,0,1,-0.623894984,1.230674787,0.259279669
2982,5.4301,1,1,MCO,4,4,0,3,4,1,1,2,4,3,2,0,2,-0.265427131,1.554559319,-0.338849556
2983,2.3452,1,1,BEN,4,1,1,5,4,1,1,2,2,2,2,1,1,-0.075062782,0.298062698,0.869612503
2984,3.0247,1,1,MCO,5,5,1,3,4,1,1,1,2,1,1,0,1,-0.410563945,-0.549508548,-0.686793141
2985,2.7589,2,1,MCO,8,4,1,3,5,1,1,2,2,1,2,4,1,0.037753755,-0.599753447,-0.035484693
2986,4.6411,1,1,MCO,8,4,1,4,5,1,1,2,1,1,1,0,1,0.100040109,-0.970091294,0.59564523
2987,1.5342,2,1,MCO,8,4,1,4,5,1,1,2,2,1,1,0,1,0.028023053,-0.41065163,0.699318887
2988,3.6356,2,1,TUV,6,4,0,4,4,1,1,4,1,1,2,0,1,0.913985031,-1.05920634,0.043338876
2989,2.4356,2,0,MCO,4,5,1,4,5,1,1,1,1,1,1,0,1,-0.320714098,-0.923637979,0.562644532
2990,3.1479,1,1,MCO,5,4,1,4,3,1,1,1,2,2,1,0,1,-0.51364978,0.15920578,-0.516499525
2991,3.1479,2,1,MCO,5,5,0,4,1,1,1,1,2,2,1,,1,-0.568776765,0.166788949,-1.753115026
2992,2.789,2,1,BUR,5,1,1,3,5,1,1,4,2,2,3,0,1,0.813470529,-0.17683915,0.08431449
2993,0.6795,2,0,BUR,8,0,1,4,5,2,2,1,2,1,1,0,3,1.785528974,-0.75417436,0.618594387
2994,4.3315,2,1,BUR,8,0,1,4,5,1,1,2,1,1,1,1,1,0.100040109,-0.970091294,0.59564523
2995,2.1315,1,1,BUR,6,4,1,3,5,1,1,1,2,1,3,4,1,-0.383000452,-0.553300133,-0.068485391
2996,1.2356,2,0,EUR,4,3,0,3,4,1,1,1,1,1,3,0,1,-0.338546889,-1.108948212,-0.790466798
2997,1.8192,2,1,BUR,5,0,1,4,4,1,1,1,3,1,3,0,1,-0.492311702,0.199032933,0.151684095
2998,1.0575,2,1,BUR,5,3,1,5,5,1,1,1,3,1,3,2,1,-0.474478911,0.384343165,1.504795425
2999,4.0521,2,1,BUR,4,0,0,4,3,1,1,4,4,3,3,0,2,0.538787089,1.654546091,-0.156352331
3000,4.0521,2,1,BUR,4,0,1,2,2,1,1,3,4,3,3,0,2,0.109930793,1.326587356,-2.277267939
3001,1.8411,2,0,RUS,6,3,1,5,5,1,1,2,1,1,1,0,1,0.090309407,-0.780989477,1.33044881
3002,6.0712,2,1,other,4,1,1,3,4,2,2,1,1,1,2,0,1,1.83971324,-1.498924257,-0.838190599
3003,0.3397,1,1,HCS,6,4,0,3,5,1,1,1,2,1,1,0,1,-0.383000452,-0.553300133,-0.068485391
3004,0.4685,1,1,HCS,5,4,1,5,5,1,1,1,3,1,1,1,1,-0.474478911,0.384343165,1.504795425
3005,7.3233,1,1,other,5,1,1,4,3,1,1,2,1,1,3,0,1,0.044913124,-0.962508125,-0.64097027
3006,10.0959,1,1,other,4,5,1,4,5,1,1,4,1,1,1,0,1,0.941548524,-1.062997924,0.661646627
3007,7.4575,1,1,HCS,4,5,1,3,5,1,1,1,1,1,1,0,1,-0.310983396,-1.112739796,-0.172159047
3008,2.4192,1,1,HCS,4,1,0,4,3,1,1,1,2,1,3,3,1,-0.447858139,-0.356615147,-0.570297312
3009,8.1863,1,1,HCS,3,2,1,4,5,2,1,1,2,3,3,4,1,0.467395116,0.540189722,0.75487589
3010,5.2137,1,0,HCS,1,5,1,2,5,1,1,2,1,1,1,0,1,0.119501513,-1.348294928,-0.873961929
3011,9.2055,1,1,HCS,1,0,0,4,3,2,2,2,2,2,2,4,2,2.085364555,-0.277223579,-0.531222629
3012,2.5041,2,1,BRI,4,5,0,3,3,1,1,4,2,2,2,0,1,0.758343544,-0.169255981,-1.152301011
3013,10.5534,1,1,PER,4,3,1,3,5,1,1,2,2,1,2,0,1,0.037753755,-0.599753447,-0.035484693
3014,1.9726,2,1,DRX,4,1,1,5,5,1,1,1,2,2,1,0,1,-0.468253497,0.340724428,1.454919555
3015,13.9014,2,1,HCS,4,0,0,3,3,2,1,2,4,4,2,2,1,0.632927288,1.946918014,-0.922397393
3016,5.5014,1,1,CRX,4,1,0,3,5,3,2,3,3,3,3,0,1,3.424877305,0.427644894,0.142023562
3017,4.6986,2,0,SIB,4,0,1,3,2,1,1,2,2,2,1,0,1,-0.110728364,-0.072557767,-1.836610157
